Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department,Modules_Taught
NUSPF12345,Marin Sergio Hernandez,XXXXX479A,1983-02-23T00:00:00Z,2009-10-31T00:00:00Z,Electrical and Computer Engineering,CEG5003
NUSPF12346,Kathryn Cordova,XXXXX815A,1985-09-02T00:00:00Z,2009-06-07T00:00:00Z,Civil and Environmental Engineering,ESE2102
NUSPF12347,Barbara Sanchez,XXXXX777A,1971-07-30T00:00:00Z,2008-05-09T00:00:00Z,Centre for Language Studies,LAT4201HM
NUSPF12348,Bryce Lucas,XXXXX610A,1973-07-20T00:00:00Z,2002-01-17T00:00:00Z,BIZ Dean's Office,DMB1203MNO
NUSPF12349,Judith Camacho,XXXXX629A,1991-11-16T00:00:00Z,2000-02-13T00:00:00Z,Economics,EC4401HM
NUSPF12350,Robin Boyd,XXXXX229A,1979-05-18T00:00:00Z,2006-09-27T00:00:00Z,Duke-NUS Dean's Office,GMS6820
NUSPF12351,Debra Johnson,XXXXX747A,1985-07-12T00:00:00Z,2013-05-04T00:00:00Z,Communications and New Media,NM4256
NUSPF12352,Seth Williams,XXXXX907A,1978-01-14T00:00:00Z,2008-01-03T00:00:00Z,NUS College Dean's Office,NHS2069
NUSPF12353,Ivan Davis,XXXXX538A,1980-12-15T00:00:00Z,2002-01-15T00:00:00Z,English,TPS5243
NUSPF12354,Joshua Campbell,XXXXX944A,1973-04-03T00:00:00Z,2009-08-18T00:00:00Z,Industrial Design,ID2117
NUSPF12355,Bethany Allen,XXXXX950A,1985-07-13T00:00:00Z,2001-10-17T00:00:00Z,Architecture,UD5601
NUSPF12356,Zachary Williams Jr.,XXXXX286A,1979-02-12T00:00:00Z,2012-02-03T00:00:00Z,Social Work,SWM5213
NUSPF12357,Charles Brown,XXXXX928A,1983-04-20T00:00:00Z,2006-01-01T00:00:00Z,Chemistry,CM5211
NUSPF12358,James Patterson,XXXXX402A,1988-04-05T00:00:00Z,1999-08-12T00:00:00Z,Physics,PC5253
NUSPF12359,Stanley Hess,XXXXX293A,1994-03-21T00:00:00Z,2011-02-16T00:00:00Z,Sociology and Anthropology,SC3204
NUSPF12360,Olivia Lozano,XXXXX701A,1988-05-22T00:00:00Z,2007-09-23T00:00:00Z,Computer Science,CS5260
NUSPF12361,Michele Perkins,XXXXX635A,1990-11-05T00:00:00Z,2008-08-15T00:00:00Z,Biological Sciences,LSM4242
NUSPF12362,Julie Murphy,XXXXX493A,1990-07-07T00:00:00Z,2006-04-17T00:00:00Z,Biomedical Engineering,BN5212
NUSPF12363,John Kelly,XXXXX995A,1976-08-14T00:00:00Z,2002-08-12T00:00:00Z,Geography,CCS5206
NUSPF12364,Jacqueline Knight,XXXXX842A,1991-04-28T00:00:00Z,2004-07-27T00:00:00Z,Industrial Design,ID2112
