Student_Name,Matric_Number,NRIC,Year,Faculties,Major,Second Major,Modules_Completed,Grades
Tracy Lewis,A0216920B,XXXXX506Z,1,NUS Business School,Business Administration,,"['ACC1701B', 'DMB1202ACC', 'DMB1201MKT', 'MNO1706B', 'RE1702', 'MNO1706C', 'MKT1705A', 'DMB1204BSP']","{'ACC1701B': 'B', 'DMB1202ACC': 'A', 'DMB1201MKT': 'C+', 'MNO1706B': 'C', 'RE1702': 'C+', 'MNO1706C': 'B+', 'MKT1705A': 'F', 'DMB1204BSP': 'B+'}"
Andrew Holden,A0225069H,XXXXX799Z,3,YST Conservatory of Music,Music,,"['CFA1111A', 'MUA1190', 'MUA2109', 'MUA1172', 'CFA1101B', 'MUA3219', 'MUA3109', 'MUH2201', 'MUA3196', 'MUA1161', 'MUA3188', 'GEH1060', 'MUA2255', 'MUA3113', 'MUL2107', 'GEC1014', 'MUA1111', 'MUA3154', 'CFA1101A', 'MUH2204', 'MUA3133', 'GES1020', 'MUA1101', 'MUA3213']","{'CFA1111A': 'F', 'MUA1190': 'A', 'MUA2109': 'F', 'MUA1172': 'A', 'CFA1101B': 'C+', 'MUA3219': 'C+', 'MUA3109': 'C+', 'MUH2201': 'B+', 'MUA3196': 'D', 'MUA1161': 'C', 'MUA3188': 'B', 'GEH1060': 'B-', 'MUA2255': 'C', 'MUA3113': 'C+', 'MUL2107': 'A', 'GEC1014': 'C', 'MUA1111': 'A', 'MUA3154': 'B+', 'CFA1101A': 'B+', 'MUH2204': 'C+', 'MUA3133': 'B+', 'GES1020': 'A-', 'MUA1101': 'D', 'MUA3213': 'C+'}"
Phillip Bullock,A0228204E,XXXXX194Z,1,College of Design and Engineering,Electrical Engineering,,"['ME1102', 'BN1111', 'PF1103', 'CN1101A', 'ID1223', 'GESS1014', 'AR1102', 'LAD1004']","{'ME1102': 'F', 'BN1111': 'B-', 'PF1103': 'C+', 'CN1101A': 'A-', 'ID1223': 'A+', 'GESS1014': 'C', 'AR1102': 'B', 'LAD1004': 'A-'}"
Valerie Rivera,A0200778Y,XXXXX150Z,3,Computing,Business Analytics,,"['CS3236R', 'CS1010', 'CP3209', 'CS1010R', 'IS1128', 'CS2103R', 'CS1231R', 'DMC1401IS', 'IS1108', 'CP1008', 'GEI1000', 'CP2201', 'IT2002', 'CS2040', 'CS3223', 'CS2103', 'BT2102', 'CS3243', 'CP3208', 'CS3230', 'BT3103', 'IT2900', 'CS2030', 'IS3251']","{'CS3236R': 'A+', 'CS1010': 'A+', 'CP3209': 'A+', 'CS1010R': 'A+', 'IS1128': 'B+', 'CS2103R': 'F', 'CS1231R': 'D', 'DMC1401IS': 'C', 'IS1108': 'A', 'CP1008': 'A', 'GEI1000': 'D', 'CP2201': 'C', 'IT2002': 'B-', 'CS2040': 'C', 'CS3223': 'A+', 'CS2103': 'B', 'BT2102': 'B-', 'CS3243': 'B+', 'CP3208': 'A+', 'CS3230': 'C', 'BT3103': 'A-', 'IT2900': 'A', 'CS2030': 'C', 'IS3251': 'C'}"
Robert Hall,A0222508M,XXXXX824Z,3,YST Conservatory of Music,Music,Business Administration,"['MUA1109', 'CFA1101A', 'MUA2255A', 'MUA1172', 'GEC1014', 'MUH2204', 'GET1047', 'MUA1153', 'CFA2101A', 'CFA2210', 'MUA1115', 'MUA2241', 'CFA1101B', 'CFA2101B', 'MUA3205', 'MUA3256', 'MUA1163', 'MUA1192', 'GET1019', 'MUH3205', 'MUA3115', 'MUA1107', 'GESS1015', 'MUT3216']","{'MUA1109': 'C+', 'CFA1101A': 'B-', 'MUA2255A': 'A', 'MUA1172': 'B-', 'GEC1014': 'C', 'MUH2204': 'C', 'GET1047': 'C+', 'MUA1153': 'A-', 'CFA2101A': 'D', 'CFA2210': 'A', 'MUA1115': 'C+', 'MUA2241': 'A+', 'CFA1101B': 'A+', 'CFA2101B': 'A-', 'MUA3205': 'A', 'MUA3256': 'D', 'MUA1163': 'B+', 'MUA1192': 'B+', 'GET1019': 'A+', 'MUH3205': 'D', 'MUA3115': 'A-', 'MUA1107': 'F', 'GESS1015': 'B', 'MUT3216': 'B+'}"
Kimberly Figueroa,A0278718X,XXXXX496Z,2,College of Design and Engineering,Architecture,,"['PF2103', 'GESS1014', 'EG1311', 'LAD2003', 'AR1328A', 'IE2141', 'PF2205', 'LAD1004', 'AR1101A', 'CE2003', 'BN2201', 'BN1111', 'GEC1040', 'CDE2701A', 'IPM1104', 'PF1108']","{'PF2103': 'B+', 'GESS1014': 'B-', 'EG1311': 'C+', 'LAD2003': 'B+', 'AR1328A': 'A-', 'IE2141': 'D', 'PF2205': 'B-', 'LAD1004': 'B-', 'AR1101A': 'A-', 'CE2003': 'B', 'BN2201': 'A', 'BN1111': 'A+', 'GEC1040': 'B+', 'CDE2701A': 'A', 'IPM1104': 'A-', 'PF1108': 'D'}"
Brian Walsh,A0216871I,XXXXX296Z,4,Computing,Computer Science,,"['CS1231R', 'IT1244', 'CS1010E', 'CP2106', 'CP1008', 'IS2218', 'CP4106', 'CP3209', 'CS2040', 'CS2100', 'CP4101', 'DMC1401', 'CS2106', 'CS4236', 'CS2105', 'IS4303', 'IS2238', 'BT1101', 'CP3201', 'CP3108A', 'CS3231', 'CS3236R', 'CS3235', 'CP3111', 'CS3237', 'CP3108B', 'CS3264', 'CS2102', 'IS4151', 'CP3208', 'BT2101', 'IS3107']","{'CS1231R': 'F', 'IT1244': 'C+', 'CS1010E': 'D', 'CP2106': 'A', 'CP1008': 'A', 'IS2218': 'B+', 'CP4106': 'A-', 'CP3209': 'C+', 'CS2040': 'B-', 'CS2100': 'B-', 'CP4101': 'A-', 'DMC1401': 'A-', 'CS2106': 'B', 'CS4236': 'B', 'CS2105': 'B', 'IS4303': 'C', 'IS2238': 'A-', 'BT1101': 'A-', 'CP3201': 'A+', 'CP3108A': 'C', 'CS3231': 'B-', 'CS3236R': 'A', 'CS3235': 'A-', 'CP3111': 'B-', 'CS3237': 'B+', 'CP3108B': 'F', 'CS3264': 'B', 'CS2102': 'C+', 'IS4151': 'C+', 'CP3208': 'A', 'BT2101': 'B', 'IS3107': 'D'}"
Jimmy Rodriguez,A0297798E,XXXXX523Z,4,Arts and Social Science,History,Music,"['PS3249', 'MS2213', 'SE3224', 'SN3223', 'NM4660', 'GET1028', 'AH2101', 'HY3223', 'SW3224', 'SE4227HM', 'NM4213', 'MS2212', 'TS2240', 'EL4401', 'EN4222', 'JS4227HM', 'SC4660', 'GEH1022', 'NM3550Y', 'HS2907', 'GL4883B', 'GESS1021', 'PS4881B', 'NM4256', 'PE3551S', 'GEX1005', 'PL4501', 'TS4401', 'AN2206', 'GE4226', 'PE4101PHM', 'HY3245']","{'PS3249': 'A-', 'MS2213': 'B+', 'SE3224': 'A-', 'SN3223': 'B+', 'NM4660': 'D', 'GET1028': 'C', 'AH2101': 'B-', 'HY3223': 'A-', 'SW3224': 'C+', 'SE4227HM': 'B', 'NM4213': 'F', 'MS2212': 'A', 'TS2240': 'A-', 'EL4401': 'A', 'EN4222': 'C+', 'JS4227HM': 'D', 'SC4660': 'A-', 'GEH1022': 'A+', 'NM3550Y': 'A-', 'HS2907': 'C+', 'GL4883B': 'C+', 'GESS1021': 'D', 'PS4881B': 'A', 'NM4256': 'A+', 'PE3551S': 'B+', 'GEX1005': 'A', 'PL4501': 'B+', 'TS4401': 'B+', 'AN2206': 'C+', 'GE4226': 'A', 'PE4101PHM': 'D', 'HY3245': 'C+'}"
Angela Solis,A0222137U,XXXXX209Z,1,Yong Loo Lin Sch of Medicine,Nursing,,"['NUR1108C', 'MD1903', 'GEC1011', 'NUR1202C', 'NUR1107B', 'GET1022', 'NUR1113A', 'NUR1114A']","{'NUR1108C': 'A+', 'MD1903': 'B+', 'GEC1011': 'A', 'NUR1202C': 'A+', 'NUR1107B': 'B+', 'GET1022': 'B-', 'NUR1113A': 'B+', 'NUR1114A': 'B+'}"
Leah Hays,A0235167D,XXXXX652Z,1,Arts and Social Science,History,,"['GES1012', 'GEC1005', 'GEC1001', 'GESS1002', 'GEH1079', 'GEI1002', 'GESS1012', 'GET1050']","{'GES1012': 'B-', 'GEC1005': 'A+', 'GEC1001': 'A+', 'GESS1002': 'B+', 'GEH1079': 'F', 'GEI1002': 'D', 'GESS1012': 'D', 'GET1050': 'B-'}"
