Employee ID,Employee Name,NRIC,DOB,DOJ,Department_ID,Modules Taught
NUS12345,,,1983-02-23T00:00:00Z,2009-10-31T00:00:00Z,IDEPT4938,
NUS12346,,,1985-09-02T00:00:00Z,2009-06-07T00:00:00Z,IDEPT2357,
NUS12347,,,1971-07-30T00:00:00Z,2008-05-09T00:00:00Z,IDEPT4670,
NUS12348,,,1973-07-20T00:00:00Z,2002-01-17T00:00:00Z,IDEPT2601,
NUS12349,,,1991-11-16T00:00:00Z,2000-02-13T00:00:00Z,IDEPT7626,
NUS12350,,,1979-05-18T00:00:00Z,2006-09-27T00:00:00Z,IDEPT3778,
NUS12351,,,1985-07-12T00:00:00Z,2013-05-04T00:00:00Z,IDEPT4132,
NUS12352,,,1978-01-14T00:00:00Z,2008-01-03T00:00:00Z,IDEPT1142,
NUS12353,,,1980-12-15T00:00:00Z,2002-01-15T00:00:00Z,IDEPT7626,
NUS12354,,,1973-04-03T00:00:00Z,2009-08-18T00:00:00Z,IDEPT1825,
NUS12355,,,1985-07-13T00:00:00Z,2001-10-17T00:00:00Z,IDEPT1615,
NUS12356,,,1979-02-12T00:00:00Z,2012-02-03T00:00:00Z,IDEPT2601,
NUS12357,,,1983-04-20T00:00:00Z,2006-01-01T00:00:00Z,IDEPT1537,
NUS12358,,,1988-04-05T00:00:00Z,1999-08-12T00:00:00Z,IDEPT5109,
NUS12359,,,1994-03-21T00:00:00Z,2011-02-16T00:00:00Z,IDEPT5881,
NUS12360,,,1988-05-22T00:00:00Z,2007-09-23T00:00:00Z,IDEPT8313,
NUS12361,,,1990-11-05T00:00:00Z,2008-08-15T00:00:00Z,IDEPT5127,
NUS12362,,,1990-07-07T00:00:00Z,2006-04-17T00:00:00Z,IDEPT3778,
NUS12363,,,1976-08-14T00:00:00Z,2002-08-12T00:00:00Z,IDEPT2357,
NUS12364,,,1991-04-28T00:00:00Z,2004-07-27T00:00:00Z,IDEPT6347,
NUS12365,,,1990-06-24T00:00:00Z,2006-06-09T00:00:00Z,IDEPT4938,
NUS12366,,,1974-09-09T00:00:00Z,2008-08-21T00:00:00Z,IDEPT1615,
NUS12367,,,1975-10-06T00:00:00Z,2009-11-16T00:00:00Z,IDEPT1615,
NUS12368,,,1992-03-22T00:00:00Z,2001-05-10T00:00:00Z,IDEPT5109,
NUS12369,,,1992-09-04T00:00:00Z,2006-07-09T00:00:00Z,IDEPT1367,
NUS12370,,,1977-07-10T00:00:00Z,2006-01-16T00:00:00Z,IDEPT5109,
NUS12371,,,1992-06-18T00:00:00Z,2010-06-21T00:00:00Z,IDEPT5881,
NUS12372,,,1970-10-25T00:00:00Z,2011-04-07T00:00:00Z,IDEPT3115,
NUS12373,,,1991-11-24T00:00:00Z,2007-04-11T00:00:00Z,IDEPT6347,
NUS12374,,,1990-04-20T00:00:00Z,1999-11-22T00:00:00Z,IDEPT1423,
NUS12375,,,1976-12-16T00:00:00Z,2008-02-05T00:00:00Z,IDEPT1378,
NUS12376,,,1994-07-10T00:00:00Z,2012-03-02T00:00:00Z,IDEPT7626,
NUS12377,,,1991-11-10T00:00:00Z,2005-07-31T00:00:00Z,IDEPT4938,
NUS12378,,,1983-02-13T00:00:00Z,2001-09-12T00:00:00Z,IDEPT1825,
NUS12379,,,1987-07-29T00:00:00Z,2006-07-24T00:00:00Z,IDEPT1825,
NUS12380,,,1971-07-26T00:00:00Z,2005-03-20T00:00:00Z,IDEPT3062,
NUS12381,,,1970-01-24T00:00:00Z,2006-04-12T00:00:00Z,IDEPT1533,
NUS12382,,,1974-05-17T00:00:00Z,2012-10-31T00:00:00Z,IDEPT5528,
NUS12383,,,1984-03-29T00:00:00Z,2014-06-22T00:00:00Z,IDEPT8313,
NUS12384,,,1974-03-20T00:00:00Z,2000-03-03T00:00:00Z,IDEPT6347,
NUS12385,,,1983-10-13T00:00:00Z,1999-07-30T00:00:00Z,IDEPT2601,
NUS12386,,,1978-12-25T00:00:00Z,2010-08-27T00:00:00Z,IDEPT3778,
NUS12387,,,1983-06-07T00:00:00Z,2005-09-16T00:00:00Z,IDEPT1615,
NUS12388,,,1985-01-15T00:00:00Z,2000-11-29T00:00:00Z,IDEPT1378,
NUS12389,,,1974-05-05T00:00:00Z,2006-12-01T00:00:00Z,IDEPT3778,
NUS12390,,,1971-05-04T00:00:00Z,2002-06-28T00:00:00Z,IDEPT5109,
NUS12391,,,1993-04-12T00:00:00Z,2011-11-06T00:00:00Z,IDEPT2601,
NUS12392,,,1988-11-13T00:00:00Z,2013-06-20T00:00:00Z,IDEPT1378,
NUS12393,,,1980-09-18T00:00:00Z,2010-04-03T00:00:00Z,IDEPT2601,
NUS12394,,,1986-09-24T00:00:00Z,2006-12-02T00:00:00Z,IDEPT5127,
NUS12395,,,1973-11-07T00:00:00Z,2011-05-14T00:00:00Z,IDEPT4055,
NUS12396,,,1975-03-28T00:00:00Z,2013-03-15T00:00:00Z,IDEPT1615,
NUS12397,,,1987-02-20T00:00:00Z,2005-09-11T00:00:00Z,IDEPT2601,
NUS12398,,,1976-02-23T00:00:00Z,2012-02-03T00:00:00Z,IDEPT1615,
NUS12399,,,1983-04-29T00:00:00Z,2014-06-01T00:00:00Z,IDEPT7783,
NUS12400,,,1976-10-05T00:00:00Z,2010-02-25T00:00:00Z,IDEPT5109,
NUS12401,,,1984-06-20T00:00:00Z,2007-02-23T00:00:00Z,IDEPT3868,
NUS12402,,,1987-10-28T00:00:00Z,2014-07-12T00:00:00Z,IDEPT5881,
NUS12403,,,1971-10-24T00:00:00Z,2004-11-18T00:00:00Z,IDEPT2357,
NUS12404,,,1984-05-15T00:00:00Z,2006-01-06T00:00:00Z,IDEPT6347,
NUS12405,,,1972-12-26T00:00:00Z,2007-02-08T00:00:00Z,IDEPT7626,
NUS12406,,,1988-08-19T00:00:00Z,2002-09-28T00:00:00Z,IDEPT1142,
NUS12407,,,1979-11-30T00:00:00Z,2008-03-13T00:00:00Z,IDEPT2425,
