Employee ID,Employee Name,NRIC,DOB,DOJ,Department,Modules Taught,staff_entities,department_entities,module_entities,relationships
NUSPF12345,Marin Sergio Hernandez,XXXXX479A,1983-02-23T00:00:00Z,2009-10-31T00:00:00Z,Electrical and Computer Engineering,CEG5003,"[('Marin Sergio Hernandez', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('CEG5003', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'CEG5003', 'to_type': 'DEPARTMENT', 'to_id': 'Electrical and Computer Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'CEG5003', 'to_type': 'STAFF', 'to_id': 'Marin Sergio Hernandez', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Marin Sergio Hernandez', 'to_type': 'DEPARTMENT', 'to_id': 'Electrical and Computer Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12346,Kathryn Cordova,XXXXX815A,1985-09-02T00:00:00Z,2009-06-07T00:00:00Z,Civil and Environmental Engineering,ESE2102,"[('Kathryn Cordova', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('ESE2102', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'ESE2102', 'to_type': 'DEPARTMENT', 'to_id': 'Civil and Environmental Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'ESE2102', 'to_type': 'STAFF', 'to_id': 'Kathryn Cordova', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Kathryn Cordova', 'to_type': 'DEPARTMENT', 'to_id': 'Civil and Environmental Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12347,Barbara Sanchez,XXXXX777A,1971-07-30T00:00:00Z,2008-05-09T00:00:00Z,Centre for Language Studies,LAT4201HM,"[('Barbara Sanchez', 'STAFF')]","[('Centre for Language Studies', 'DEPARTMENT')]","[('LAT4201HM', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'LAT4201HM', 'to_type': 'DEPARTMENT', 'to_id': 'Centre for Language Studies', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'LAT4201HM', 'to_type': 'STAFF', 'to_id': 'Barbara Sanchez', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Barbara Sanchez', 'to_type': 'DEPARTMENT', 'to_id': 'Centre for Language Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12348,Bryce Lucas,XXXXX610A,1973-07-20T00:00:00Z,2002-01-17T00:00:00Z,BIZ Dean's Office,DMB1203MNO,"[('Bryce Lucas', 'STAFF')]","[(""BIZ Dean's Office"", 'DEPARTMENT')]","[('DMB1203MNO', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'DMB1203MNO', 'to_type': 'DEPARTMENT', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'DMB1203MNO', 'to_type': 'STAFF', 'to_id': 'Bryce Lucas', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Bryce Lucas', 'to_type': 'DEPARTMENT', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12349,Judith Camacho,XXXXX629A,1991-11-16T00:00:00Z,2000-02-13T00:00:00Z,Economics,EC4401HM,"[('Judith Camacho', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('EC4401HM', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'EC4401HM', 'to_type': 'DEPARTMENT', 'to_id': 'Economics', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'EC4401HM', 'to_type': 'STAFF', 'to_id': 'Judith Camacho', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Judith Camacho', 'to_type': 'DEPARTMENT', 'to_id': 'Economics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12350,Robin Boyd,XXXXX229A,1979-05-18T00:00:00Z,2006-09-27T00:00:00Z,Duke-NUS Dean's Office,GMS6820,"[('Robin Boyd', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS6820', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'GMS6820', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'GMS6820', 'to_type': 'STAFF', 'to_id': 'Robin Boyd', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Robin Boyd', 'to_type': 'DEPARTMENT', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12351,Debra Johnson,XXXXX747A,1985-07-12T00:00:00Z,2013-05-04T00:00:00Z,Communications and New Media,NM4256,"[('Debra Johnson', 'STAFF')]","[('Communications and New Media', 'DEPARTMENT')]","[('NM4256', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NM4256', 'to_type': 'DEPARTMENT', 'to_id': 'Communications and New Media', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NM4256', 'to_type': 'STAFF', 'to_id': 'Debra Johnson', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Debra Johnson', 'to_type': 'DEPARTMENT', 'to_id': 'Communications and New Media', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12352,Seth Williams,XXXXX907A,1978-01-14T00:00:00Z,2008-01-03T00:00:00Z,NUS College Dean's Office,NHS2069,"[('Seth Williams', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NHS2069', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'NHS2069', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'NHS2069', 'to_type': 'STAFF', 'to_id': 'Seth Williams', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Seth Williams', 'to_type': 'DEPARTMENT', 'to_id': ""NUS College Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12353,Ivan Davis,XXXXX538A,1980-12-15T00:00:00Z,2002-01-15T00:00:00Z,English,TPS5243,"[('Ivan Davis', 'STAFF')]","[('English', 'DEPARTMENT')]","[('TPS5243', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'TPS5243', 'to_type': 'DEPARTMENT', 'to_id': 'English', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'TPS5243', 'to_type': 'STAFF', 'to_id': 'Ivan Davis', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Ivan Davis', 'to_type': 'DEPARTMENT', 'to_id': 'English', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12354,Joshua Campbell,XXXXX944A,1973-04-03T00:00:00Z,2009-08-18T00:00:00Z,Industrial Design,ID2117,"[('Joshua Campbell', 'STAFF')]","[('Industrial Design', 'DEPARTMENT')]","[('ID2117', 'MODULE')]","[{'from_type': 'MODULE', 'from_id': 'ID2117', 'to_type': 'DEPARTMENT', 'to_id': 'Industrial Design', 'type': 'BELONGS_TO'}, {'from_type': 'MODULE', 'from_id': 'ID2117', 'to_type': 'STAFF', 'to_id': 'Joshua Campbell', 'type': 'TAUGHT_BY'}, {'from_type': 'STAFF', 'from_id': 'Joshua Campbell', 'to_type': 'DEPARTMENT', 'to_id': 'Industrial Design', 'type': 'EMPLOYED_UNDER'}]"
