Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department_ID,Modules_Taught,Staff_entities,Department_entities,Module_entities,Relationships
NUSPF12345,Marin Sergio Hernandez,XXXXX479A,1983-02-23T00:00:00Z,2009-10-31T00:00:00Z,Electrical and Computer Engineering,CEG5003,"[('Marin Sergio Hernandez', 'STAFF')]","[('Electrical and Computer Engineering', 'DEPARTMENT')]","[('CEG5003', 'MODULE')]","[{""from_type"":""STAFF"", ""from_id"":""NUSPF12345"", ""to_type"":""DEPARTMENT"", ""to_id"": ""Electrical and Computer Engineering"",""type"":""EMPLOYED_UNDER""}]"
NUSPF12346,Kathryn Cordova,XXXXX815A,1985-09-02T00:00:00Z,2009-06-07T00:00:00Z,Civil and Environmental Engineering,ESE2102,"[('Kathryn Cordova', 'STAFF')]","[('Civil and Environmental Engineering', 'DEPARTMENT')]","[('ESE2102', 'MODULE')]",
NUSPF12347,Barbara Sanchez,XXXXX777A,1971-07-30T00:00:00Z,2008-05-09T00:00:00Z,Centre for Language Studies,LAT4201HM,"[('Barbara Sanchez', 'STAFF')]","[('Centre for Language Studies', 'DEPARTMENT')]","[('LAT4201HM', 'MODULE')]",
NUSPF12348,Bryce Lucas,XXXXX610A,1973-07-20T00:00:00Z,2002-01-17T00:00:00Z,BIZ Dean's Office,DMB1203MNO,"[('Bryce Lucas', 'STAFF')]","[(""BIZ Dean's Office"", 'DEPARTMENT')]","[('DMB1203MNO', 'MODULE')]",
NUSPF12349,Judith Camacho,XXXXX629A,1991-11-16T00:00:00Z,2000-02-13T00:00:00Z,Economics,EC4401HM,"[('Judith Camacho', 'STAFF')]","[('Economics', 'DEPARTMENT')]","[('EC4401HM', 'MODULE')]",
NUSPF12350,Robin Boyd,XXXXX229A,1979-05-18T00:00:00Z,2006-09-27T00:00:00Z,Duke-NUS Dean's Office,GMS6820,"[('Robin Boyd', 'STAFF')]","[(""Duke-NUS Dean's Office"", 'DEPARTMENT')]","[('GMS6820', 'MODULE')]",
NUSPF12351,Debra Johnson,XXXXX747A,1985-07-12T00:00:00Z,2013-05-04T00:00:00Z,Communications and New Media,NM4256,"[('Debra Johnson', 'STAFF')]","[('Communications and New Media', 'DEPARTMENT')]","[('NM4256', 'MODULE')]",
NUSPF12352,Seth Williams,XXXXX907A,1978-01-14T00:00:00Z,2008-01-03T00:00:00Z,NUS College Dean's Office,NHS2069,"[('Seth Williams', 'STAFF')]","[(""NUS College Dean's Office"", 'DEPARTMENT')]","[('NHS2069', 'MODULE')]",
NUSPF12353,Ivan Davis,XXXXX538A,1980-12-15T00:00:00Z,2002-01-15T00:00:00Z,English,TPS5243,"[('Ivan Davis', 'STAFF')]","[('English', 'DEPARTMENT')]","[('TPS5243', 'MODULE')]",
NUSPF12354,Joshua Campbell,XXXXX944A,1973-04-03T00:00:00Z,2009-08-18T00:00:00Z,Industrial Design,ID2117,"[('Joshua Campbell', 'STAFF')]","[('Industrial Design', 'DEPARTMENT')]","[('ID2117', 'MODULE')]",
