Employee_ID,Employee_Name,NRIC,DOB,DOJ,Department,Modules_Taught,staff_entities,department_entities,module_entities,relationships
NUSPF12345,Marin Sergio Hernandez,XXXXX479A,1983-02-23T00:00:00Z,2009-10-31T00:00:00Z,Electrical and Computer Engineering,CEG5003,"[('Marin Sergio Hernandez', 'Staff')]","[('Electrical and Computer Engineering', 'Department')]","[('CEG5003', 'Module')]","[{'from_type': 'Module', 'from_id': 'CEG5003', 'to_type': 'Department', 'to_id': 'Electrical and Computer Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'CEG5003', 'to_type': 'Staff', 'to_id': 'Marin Sergio Hernandez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Marin Sergio Hernandez', 'to_type': 'Department', 'to_id': 'Electrical and Computer Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12346,Kathryn Cordova,XXXXX815A,1985-09-02T00:00:00Z,2009-06-07T00:00:00Z,Civil and Environmental Engineering,ESE2102,"[('Kathryn Cordova', 'Staff')]","[('Civil and Environmental Engineering', 'Department')]","[('ESE2102', 'Module')]","[{'from_type': 'Module', 'from_id': 'ESE2102', 'to_type': 'Department', 'to_id': 'Civil and Environmental Engineering', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ESE2102', 'to_type': 'Staff', 'to_id': 'Kathryn Cordova', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Kathryn Cordova', 'to_type': 'Department', 'to_id': 'Civil and Environmental Engineering', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12347,Barbara Sanchez,XXXXX777A,1971-07-30T00:00:00Z,2008-05-09T00:00:00Z,Centre for Language Studies,LAT4201HM,"[('Barbara Sanchez', 'Staff')]","[('Centre for Language Studies', 'Department')]","[('LAT4201HM', 'Module')]","[{'from_type': 'Module', 'from_id': 'LAT4201HM', 'to_type': 'Department', 'to_id': 'Centre for Language Studies', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'LAT4201HM', 'to_type': 'Staff', 'to_id': 'Barbara Sanchez', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Barbara Sanchez', 'to_type': 'Department', 'to_id': 'Centre for Language Studies', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12348,Bryce Lucas,XXXXX610A,1973-07-20T00:00:00Z,2002-01-17T00:00:00Z,BIZ Dean's Office,DMB1203MNO,"[('Bryce Lucas', 'Staff')]","[(""BIZ Dean's Office"", 'Department')]","[('DMB1203MNO', 'Module')]","[{'from_type': 'Module', 'from_id': 'DMB1203MNO', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'DMB1203MNO', 'to_type': 'Staff', 'to_id': 'Bryce Lucas', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Bryce Lucas', 'to_type': 'Department', 'to_id': ""BIZ Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12349,Judith Camacho,XXXXX629A,1991-11-16T00:00:00Z,2000-02-13T00:00:00Z,Economics,EC4401HM,"[('Judith Camacho', 'Staff')]","[('Economics', 'Department')]","[('EC4401HM', 'Module')]","[{'from_type': 'Module', 'from_id': 'EC4401HM', 'to_type': 'Department', 'to_id': 'Economics', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'EC4401HM', 'to_type': 'Staff', 'to_id': 'Judith Camacho', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Judith Camacho', 'to_type': 'Department', 'to_id': 'Economics', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12350,Robin Boyd,XXXXX229A,1979-05-18T00:00:00Z,2006-09-27T00:00:00Z,Duke-NUS Dean's Office,GMS6820,"[('Robin Boyd', 'Staff')]","[(""Duke-NUS Dean's Office"", 'Department')]","[('GMS6820', 'Module')]","[{'from_type': 'Module', 'from_id': 'GMS6820', 'to_type': 'Department', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'GMS6820', 'to_type': 'Staff', 'to_id': 'Robin Boyd', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Robin Boyd', 'to_type': 'Department', 'to_id': ""Duke-NUS Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12351,Debra Johnson,XXXXX747A,1985-07-12T00:00:00Z,2013-05-04T00:00:00Z,Communications and New Media,NM4256,"[('Debra Johnson', 'Staff')]","[('Communications and New Media', 'Department')]","[('NM4256', 'Module')]","[{'from_type': 'Module', 'from_id': 'NM4256', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'NM4256', 'to_type': 'Staff', 'to_id': 'Debra Johnson', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Debra Johnson', 'to_type': 'Department', 'to_id': 'Communications and New Media', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12352,Seth Williams,XXXXX907A,1978-01-14T00:00:00Z,2008-01-03T00:00:00Z,NUS College Dean's Office,NHS2069,"[('Seth Williams', 'Staff')]","[(""NUS College Dean's Office"", 'Department')]","[('NHS2069', 'Module')]","[{'from_type': 'Module', 'from_id': 'NHS2069', 'to_type': 'Department', 'to_id': ""NUS College Dean's Office"", 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'NHS2069', 'to_type': 'Staff', 'to_id': 'Seth Williams', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Seth Williams', 'to_type': 'Department', 'to_id': ""NUS College Dean's Office"", 'type': 'EMPLOYED_UNDER'}]"
NUSPF12353,Ivan Davis,XXXXX538A,1980-12-15T00:00:00Z,2002-01-15T00:00:00Z,English,TPS5243,"[('Ivan Davis', 'Staff')]","[('English', 'Department')]","[('TPS5243', 'Module')]","[{'from_type': 'Module', 'from_id': 'TPS5243', 'to_type': 'Department', 'to_id': 'English', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'TPS5243', 'to_type': 'Staff', 'to_id': 'Ivan Davis', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Ivan Davis', 'to_type': 'Department', 'to_id': 'English', 'type': 'EMPLOYED_UNDER'}]"
NUSPF12354,Joshua Campbell,XXXXX944A,1973-04-03T00:00:00Z,2009-08-18T00:00:00Z,Industrial Design,ID2117,"[('Joshua Campbell', 'Staff')]","[('Industrial Design', 'Department')]","[('ID2117', 'Module')]","[{'from_type': 'Module', 'from_id': 'ID2117', 'to_type': 'Department', 'to_id': 'Industrial Design', 'type': 'BELONGS_TO'}, {'from_type': 'Module', 'from_id': 'ID2117', 'to_type': 'Staff', 'to_id': 'Joshua Campbell', 'type': 'TAUGHT_BY'}, {'from_type': 'Staff', 'from_id': 'Joshua Campbell', 'to_type': 'Department', 'to_id': 'Industrial Design', 'type': 'EMPLOYED_UNDER'}]"
