Subject,Predicate,Object
Marin Sergio Hernandez,is_in_department,Electrical and Computer Engineering
Kathryn Cordova,is_in_department,Civil and Environmental Engineering
Barbara Sanchez,is_in_department,Centre for Language Studies
Bryce Lucas,is_in_department,BIZ Dean's Office
Judith Camacho,is_in_department,Economics
Robin Boyd,is_in_department,Duke-NUS Dean's Office
Debra Johnson,is_in_department,Communications and New Media
Seth Williams,is_in_department,NUS College Dean's Office
Ivan Davis,is_in_department,English
Joshua Campbell,is_in_department,Industrial Design
Bethany Allen,is_in_department,Architecture
Zachary Williams Jr.,is_in_department,Social Work
Charles Brown,is_in_department,Chemistry
James Patterson,is_in_department,Physics
Stanley Hess,is_in_department,Sociology and Anthropology
Olivia Lozano,is_in_department,Computer Science
Michele Perkins,is_in_department,Biological Sciences
Julie Murphy,is_in_department,Biomedical Engineering
John Kelly,is_in_department,Geography
Jacqueline Knight,is_in_department,Industrial Design
Susan Jimenez,is_in_department,SCALE Dean's Office
Paula Evans,is_in_department,Philosophy
Phillip Martin,is_in_department,Psychology
Julie Choi,is_in_department,Duke-NUS Dean's Office
Robert Hawkins,is_in_department,History
David Maldonado,is_in_department,Duke-NUS Dean's Office
Tammie Webb,is_in_department,Mathematics
Jennifer Lewis,is_in_department,FoL Dean's Office
Vernon Wolfe,is_in_department,NUS College Dean's Office
Michelle Burke,is_in_department,Mathematics
Kendra Fields,is_in_department,Biological Sciences
Heather Mcdaniel,is_in_department,LKYSPP Dean's Office
Dr. Sean Davis,is_in_department,FoL Dean's Office
Melissa Henderson,is_in_department,FASS DO/Office of Programmes
Joshua Welch,is_in_department,Strategy and Policy
Eugene Mitchell,is_in_department,Computer Science
Alisha Browning,is_in_department,Duke-NUS Dean's Office
Tracy Brown,is_in_department,Malay Studies
Jessica Evans,is_in_department,CDE Dean's Office
Edward Chang,is_in_department,Residential College 4
Carlos Murphy,is_in_department,SCALE Dean's Office
Samantha Anderson,is_in_department,YSTCM Dean's Office
Richard Johnson,is_in_department,Alice Lee Center for Nursing Studies
