Subject,Predicate,Object
Marin Sergio Hernandez,teaches_module,CEG5003
Kathryn Cordova,teaches_module,ESE2102
Barbara Sanchez,teaches_module,LAT4201HM
Bryce Lucas,teaches_module,DMB1203MNO
Judith Camacho,teaches_module,EC4401HM
Robin Boyd,teaches_module,GMS6820
Debra Johnson,teaches_module,NM4256
Seth Williams,teaches_module,NHS2069
Ivan Davis,teaches_module,TPS5243
Joshua Campbell,teaches_module,ID2117
Bethany Allen,teaches_module,UD5601
Zachary Williams Jr.,teaches_module,SWM5213
Charles Brown,teaches_module,CM5211
James Patterson,teaches_module,PC5253
Stanley Hess,teaches_module,SC3204
Olivia Lozano,teaches_module,CS5260
Michele Perkins,teaches_module,LSM4242
Julie Murphy,teaches_module,BN5212
John Kelly,teaches_module,CCS5206
Jacqueline Knight,teaches_module,ID2112
Susan Jimenez,teaches_module,TME3122
Paula Evans,teaches_module,PH4244HM
Phillip Martin,teaches_module,PL1101E
Julie Choi,teaches_module,GMS5149
Robert Hawkins,teaches_module,HY5412
David Maldonado,teaches_module,GMS5154
Tammie Webb,teaches_module,MA1522
Jennifer Lewis,teaches_module,LL4452V
Vernon Wolfe,teaches_module,NHT2207
Michelle Burke,teaches_module,QF5214
Kendra Fields,teaches_module,BL5220
Heather Mcdaniel,teaches_module,PP5904
Dr. Sean Davis,teaches_module,LL5356V
Melissa Henderson,teaches_module,ASP1201CH
Joshua Welch,teaches_module,GESS1036
Eugene Mitchell,teaches_module,CS5239
Alisha Browning,teaches_module,GMS5004
Tracy Brown,teaches_module,MS4880B
Jessica Evans,teaches_module,CDE2701B
Edward Chang,teaches_module,UTC2730
Carlos Murphy,teaches_module,TCX1101
Samantha Anderson,teaches_module,MUA3266
Richard Johnson,teaches_module,NUR2441A
Melissa Adams,teaches_module,SE3551
David Keller,teaches_module,DEP5110
Kathryn Allen,teaches_module,PR2150
Laura Garrison,teaches_module,AR2522
Stephen Tyler,teaches_module,EC4302
Tammy Hart,teaches_module,SPH5890B
Thomas Alvarez,teaches_module,BSP1703
David Cohen,teaches_module,ENC5253
Matthew Williams,teaches_module,MLE5101
Joshua Fox,teaches_module,JS4230HM
Christopher Chung,teaches_module,CE5611QA
Jennifer Williams,teaches_module,EE6990
Mason Thomas,teaches_module,ESE5202
Jonathan Larsen,teaches_module,PC2174A
Robert Johnson,teaches_module,ESP2107
Troy Mitchell DVM,teaches_module,LC5074
Joe Carter,teaches_module,EE6135
Jenny Allison,teaches_module,IE5108
Michael Barnes,teaches_module,GMS5224
Brian Good,teaches_module,LL4029BV
Jeff Waters,teaches_module,EEK5104
Tonya Bennett,teaches_module,GESS1021
Nathan Davis,teaches_module,CH5660
Erica Moore,teaches_module,YIR3316G
Billy Hunter,teaches_module,ACE5480
Annette Miller,teaches_module,CM5100
Michael Smith,teaches_module,ECA5335
Christopher Cox,teaches_module,CE5805QB
Jose Wallace,teaches_module,TBA2101
Andrea Glass,teaches_module,SPH5890D
Vanessa Valencia,teaches_module,PC5101
Thomas Sparks,teaches_module,BL5602
Jonathan Shelton,teaches_module,BN5516
Morgan Clarke,teaches_module,MKT3716
Heather Richards,teaches_module,IE5206
Anita Smith,teaches_module,LL6528V
Latoya Lopez,teaches_module,DMX1401AI
Crystal Meyers,teaches_module,IS4231
Alexander Garrett,teaches_module,PS4660HM
Donna Molina,teaches_module,BMG5202
Ethan Orr,teaches_module,LL6525
Judy Henry,teaches_module,ST2312
Chad Rogers,teaches_module,GEA1000N
Ryan Skinner,teaches_module,CDE5301
Alison Schmidt,teaches_module,HY2262
Elizabeth Walker,teaches_module,FST4312
Dustin Lowe,teaches_module,BT4013
Russell Sherman,teaches_module,BL5323
Michael Williams,teaches_module,CHC5305
Antonio Ochoa,teaches_module,PH3218
Aaron Williams,teaches_module,BMK6111V
Tom Morgan,teaches_module,DOS5104
Edwin Kelley,teaches_module,IFS4205
Denise Freeman,teaches_module,LSM3243
Audrey Adams,teaches_module,BME5042
David Martin,teaches_module,CM3254
Kylie Rivera,teaches_module,LAS2201
Nicholas Ellis,teaches_module,LAB3201
April Miller,teaches_module,IS5116
