Subject,Predicate,Object
ACC1701X,teaches_module,Prof Chan
ACC1701X,teaches_module,Prof Winston
ACC1701X,teaches_module,Prof Deon
ACC1701X,teaches_module,Prof Hanny
ACC1701X,teaches_module,prof shi
ACC1701X,teaches_module,Prof Shi
AH2101,teaches_module,Dr Priya
AN2203,teaches_module,Prof Elliott
BL5602,teaches_module,Prof Gong
BL5602,teaches_module,Prof Pan
BL5602,teaches_module,Prof Ge
BN2403,teaches_module,Prof Huang Zhiwei
BN5101,teaches_module,Prof Yu Haoyong
BN5104,teaches_module,Prof Leo
BN5104,teaches_module,Prof Cheow
BN5104,teaches_module,Prof Cheow Lih
BSN3714,teaches_module,Prof Yong
BSN3714,teaches_module,Prof Titus
BSP1703,teaches_module,Prof Xu Le
BSP1707A,teaches_module,Prof Ong Pinchuan
BT1101,teaches_module,Prof Sharon
BT1101,teaches_module,Prof Yingda
BT1101,teaches_module,prof sharon
BT1101,teaches_module,Prof Yinda
BT1101,teaches_module,Prof Samantha Sow
BT1101,teaches_module,Dr Desmond
BT1101,teaches_module,Prof Desmond
BT1101,teaches_module,Dr Ong
BT1101,teaches_module,Prof Sharon Tan
BT1101,teaches_module,Prof Geng
BT2101,teaches_module,Prof Varun
BT2102,teaches_module,Prof Danny
BT2102,teaches_module,Prof Danny Poo
BT3017,teaches_module,Prof Ng
BT3102,teaches_module,Prof Adi
BT3102,teaches_module,Prof Stanley
BT3102,teaches_module,Prof Aditya
BT3102,teaches_module,Prof Aditya Karanam
BT3102,teaches_module,Dr Stanley
BT3102,teaches_module,Prof  Pieter Abbeel
BT4013,teaches_module,Prof Stanley
BT4211,teaches_module,Prof Vivek Sundar
BT4211,teaches_module,Prof Vivek
BT4212,teaches_module,Prof Jin Chen
BT4221,teaches_module,Prof Um Sungyong
BT4222,teaches_module,Prof Qiao
CDE2000,teaches_module,Dr Uma
CE1103,teaches_module,Prof Darren Chian
CE1103,teaches_module,Prof Qian
CE1103,teaches_module,Prof Darren
CE1103,teaches_module,Prof Qian Xudong
CE2155,teaches_module,Dr Du Hongjian
CE2407B,teaches_module,Prof Kuang
CG1111A,teaches_module,Prof Sangit
CG2023,teaches_module,Dr Zhang
CG2023,teaches_module,Dr Sahoo
CG2027,teaches_module,Prof Jerald
CG2027,teaches_module,Prof Minghui
CG2027,teaches_module,DRAM
CG2111A,teaches_module,Prof Boyd
CG2111A,teaches_module,Prof Boyd Anderson
CG2111A,teaches_module,PROFESSORS
CG2111A,teaches_module,Prof Ravi
CG2111A,teaches_module,Prof Colin
CG2271,teaches_module,Prof He Bingsheng
CG2271,teaches_module,Prof Ravi
CG4002,teaches_module,Prof Jithin
CH1101E,teaches_module,Prof Koh Khee
CL1101E,teaches_module,Prof Phua
CL1101E,teaches_module,Prof Peng
CL2102,teaches_module,Prof Shen Ruiqing
CLC3303,teaches_module,Dr Angeline
CM1102,teaches_module,Dr Chong
CM1102,teaches_module,Prof Chin Wee
CM1102,teaches_module,Prof Chin
CM1102,teaches_module,Prof Chng Shu
CM1102,teaches_module,Prof Chng
CM1102,teaches_module,Prof Francis
CM1102,teaches_module,Prof Chong
CM1417,teaches_module,Prof Saradha
CM1417,teaches_module,Prof  Saradha
CM2112,teaches_module,Prof Chui
CM2112,teaches_module,Prof John
CM2122,teaches_module,Prof Zhu Ru
CM2122,teaches_module,Prof Zhu
CM2122,teaches_module,Prof Hoang
CM2133,teaches_module,Prof Kang Hway
CM3212,teaches_module,dr steph chui
CM3221,teaches_module,Prof Zhao Yu
CM3221,teaches_module,Prof Koh Ming
CM3221,teaches_module,Prof Koh
CM3221,teaches_module,Prof Zhao
CM3225,teaches_module,Prof Chng
CM3252,teaches_module,Prof Tan
CM3252,teaches_module,Prof Chi
CM3252,teaches_module,Dr Chi
CM3252,teaches_module,Dr Tan
CM3253,teaches_module,Prof Eda
CM3253,teaches_module,Prof Chuah
CM3296,teaches_module,Prof Zhang
CM4225,teaches_module,Prof Ge
CM4258,teaches_module,Prof Jiang Donglin
CM4269,teaches_module,Prof Jason Yeo
CM4269,teaches_module,Prof Jason
CM4269,teaches_module,Prof Simon Watts
CN1101A,teaches_module,Prof Farooq Shamsuzzaman
CN2103,teaches_module,Prof Sergey
CN2103,teaches_module,Prof Loh
CN2103,teaches_module,Prof Yung
CN2103,teaches_module,Prof Zhang Sui
CN2104,teaches_module,Prof Sergey
CN2104,teaches_module,Dr Karthiga
CN2104,teaches_module,Prof Karthiga
CN2104,teaches_module,Prof Lanry
CN2104,teaches_module,Prof Kozlov
CN2105,teaches_module,Prof Yan
CN2105,teaches_module,Prof Lin
CN2106,teaches_module,Prof Jiang
CN2106,teaches_module,Prof Wang
CN3135,teaches_module,Prof Jangam
CN4205R,teaches_module,Dr Jangam
CN4227R,teaches_module,Prof Chiu
CP2201,teaches_module,Prof Victor
CS1010,teaches_module,Prof Wei Tsang
CS1010,teaches_module,Prof Gary
CS1010E,teaches_module,Dr Henry
CS1010E,teaches_module,Prof KHOO Siau
CS1010E,teaches_module,Prof Tan
CS1010E,teaches_module,Prof Alan
CS1010E,teaches_module,Prof Zhou
CS1010E,teaches_module,Prof Khoo
CS1010E,teaches_module,Prof Joxan Jaffar
CS1010E,teaches_module,Dr Chong
CS1010E,teaches_module,Prof Alan CHENG
CS1010J,teaches_module,Prof Lifeng
CS1010J,teaches_module,DrJava
CS1010S,teaches_module,Prof Ashish
CS1010S,teaches_module,Prof Leong
CS1010S,teaches_module,Prof Ben Leong
CS1010S,teaches_module,Prof Ben
CS1010S,teaches_module,Prof Leong Wai
CS1010X,teaches_module,Prof Tan Tiow
CS1010X,teaches_module,Prof Tan
CS1010X,teaches_module,Prof Ben Leong
CS1010X,teaches_module,Prof Tan Sun
CS1010X,teaches_module,Prof Ben
CS1101S,teaches_module,Prof Boyd
CS1101S,teaches_module,Professors
CS1101S,teaches_module,Prof Henz
CS1101S,teaches_module,Prof Martin
CS1101S,teaches_module,Prof Sanka
CS1101S,teaches_module,Prof Low Kok
CS1101S,teaches_module,Prof Boyd Anderson
CS1101S,teaches_module,Prof Martin Henz
CS1101S,teaches_module,Dr Low
CS1231,teaches_module,Prof Bressan
CS1231,teaches_module,Prof Tay Tiong
CS1231,teaches_module,Prof Tay
CS1231,teaches_module,Prof Wong
CS1231,teaches_module,Prof Bryan Low
CS1231,teaches_module,Prof Byran
CS1231,teaches_module,Prof Colin
CS1231,teaches_module,Prof Low
CS1231,teaches_module,Prof Bressan Stephane
CS1231,teaches_module,Prof Tin Lok
CS1231,teaches_module,Prof Liwei
CS1231,teaches_module,prof liwei
CS1231,teaches_module,Prof Li Wei
CS1231,teaches_module,Prof Wong Tin
CS1231,teaches_module,Prof Aaron
CS1231,teaches_module,Prof Terence
CS1231,teaches_module,Instructor Wong
CS1231S,teaches_module,Prof Aaron
CS1231S,teaches_module,Prof Chin Wei
CS1231S,teaches_module,Prof Chin
CS1231S,teaches_module,Dr Ashish
CS1231S,teaches_module,Prof Rajendra
CS1231S,teaches_module,Prof Tin Lok
CS1231S,teaches_module,Prof Lawrence Wong
CS2030,teaches_module,Dr Chia
CS2030,teaches_module,Prof Chin Wei
CS2030,teaches_module,Prof Henry Chia
CS2030,teaches_module,Prof Henry
CS2030,teaches_module,Prof Boyd
CS2030,teaches_module,Prof Boyd Anderson
CS2030,teaches_module,Prof Ooi
