Subject,Predicate,Object
Tracy Lewis,is_in_faculty,NUS Business School
Andrew Holden,is_in_faculty,YST Conservatory of Music
Phillip Bullock,is_in_faculty,College of Design and Engineering
Valerie Rivera,is_in_faculty,Computing
Robert Hall,is_in_faculty,YST Conservatory of Music
Kimberly Figueroa,is_in_faculty,College of Design and Engineering
Brian Walsh,is_in_faculty,Computing
Jimmy Rodriguez,is_in_faculty,Arts and Social Science
Angela Solis,is_in_faculty,Yong Loo Lin Sch of Medicine
Leah Hays,is_in_faculty,Arts and Social Science
Stephanie Brown,is_in_faculty,YST Conservatory of Music
Mackenzie Myers,is_in_faculty,YST Conservatory of Music
Troy Mcfarland,is_in_faculty,Computing
Scott Pollard,is_in_faculty,Arts and Social Science
Jennifer Padilla,is_in_faculty,Yong Loo Lin Sch of Medicine
Teresa Gomez,is_in_faculty,NUS Business School
Tracy Scott,is_in_faculty,Yong Loo Lin Sch of Medicine
Albert Miller,is_in_faculty,Yong Loo Lin Sch of Medicine
Robert Sutton,is_in_faculty,Science
Brittney Parker,is_in_faculty,Yong Loo Lin Sch of Medicine
Meghan Mason,is_in_faculty,Science
Nicholas Anderson,is_in_faculty,Arts and Social Science
Nancy Smith,is_in_faculty,Arts and Social Science
Terri Hall,is_in_faculty,College of Design and Engineering
Julie Adams,is_in_faculty,Yong Loo Lin Sch of Medicine
Jenny Richardson,is_in_faculty,Yong Loo Lin Sch of Medicine
Paula West,is_in_faculty,Yong Loo Lin Sch of Medicine
Bonnie Higgins,is_in_faculty,Science
James Berg,is_in_faculty,College of Design and Engineering
Savannah Alexander,is_in_faculty,Yong Loo Lin Sch of Medicine
Nicole Griffin,is_in_faculty,Science
Jennifer Sanchez,is_in_faculty,Arts and Social Science
Jacob Ferguson,is_in_faculty,Computing
John Olsen,is_in_faculty,NUS Business School
John Guerra,is_in_faculty,Arts and Social Science
Rebecca Robertson,is_in_faculty,Yong Loo Lin Sch of Medicine
Candice Rios,is_in_faculty,Science
Jonathan Hopkins,is_in_faculty,Yong Loo Lin Sch of Medicine
Jeffrey Daniels,is_in_faculty,Science
Colleen Gilbert,is_in_faculty,NUS Business School
James Bell,is_in_faculty,Arts and Social Science
Tami Clarke,is_in_faculty,NUS Business School
John Garcia,is_in_faculty,Arts and Social Science
Nicole Gonzalez,is_in_faculty,Computing
Andrew Newman,is_in_faculty,Yong Loo Lin Sch of Medicine
Randy Moore,is_in_faculty,Arts and Social Science
Kelly Norris,is_in_faculty,Yong Loo Lin Sch of Medicine
Larry Mccarthy,is_in_faculty,Arts and Social Science
April Mendez,is_in_faculty,Science
Shawn Townsend,is_in_faculty,Law
Christine Clark,is_in_faculty,Law
Kevin Hall,is_in_faculty,Yong Loo Lin Sch of Medicine
George King,is_in_faculty,Arts and Social Science
Timothy Ryan,is_in_faculty,Arts and Social Science
Dr. Stephanie Williams MD,is_in_faculty,Yong Loo Lin Sch of Medicine
Paul Obrien,is_in_faculty,Yong Loo Lin Sch of Medicine
Eduardo James,is_in_faculty,YST Conservatory of Music
Amanda Perez,is_in_faculty,Computing
Stacy Ortiz,is_in_faculty,Law
Lynn Jennings,is_in_faculty,Science
Sherri Estes,is_in_faculty,Science
Karen Adams,is_in_faculty,Arts and Social Science
Terry Ross,is_in_faculty,YST Conservatory of Music
Jerry Alexander,is_in_faculty,Science
Keith Middleton,is_in_faculty,YST Conservatory of Music
Brenda Irwin,is_in_faculty,Science
Judith Fox,is_in_faculty,Computing
Grant Chavez,is_in_faculty,Yong Loo Lin Sch of Medicine
Adam Torres,is_in_faculty,YST Conservatory of Music
Sydney Green,is_in_faculty,NUS Business School
Karla Compton,is_in_faculty,NUS Business School
Harry Caldwell,is_in_faculty,Yong Loo Lin Sch of Medicine
George Johnson,is_in_faculty,Law
Joseph Perkins,is_in_faculty,NUS Business School
Alexis Garcia,is_in_faculty,Yong Loo Lin Sch of Medicine
Rodney Williams,is_in_faculty,Law
Christine Pace,is_in_faculty,Computing
Nicole Barton,is_in_faculty,Computing
Jennifer Hart,is_in_faculty,College of Design and Engineering
Thomas Hanson,is_in_faculty,Science
Eric Anderson,is_in_faculty,NUS Business School
Kayla Peterson,is_in_faculty,NUS Business School
Paul Barton,is_in_faculty,Arts and Social Science
Brian Michael,is_in_faculty,Arts and Social Science
Deanna Villarreal,is_in_faculty,Yong Loo Lin Sch of Medicine
Todd Martin,is_in_faculty,Law
Alejandro Preston,is_in_faculty,Law
Lisa Baird,is_in_faculty,YST Conservatory of Music
Timothy Hahn,is_in_faculty,Science
John Bell,is_in_faculty,YST Conservatory of Music
Dr. Casey Taylor,is_in_faculty,Law
Amanda Johnson,is_in_faculty,College of Design and Engineering
Richard Cox,is_in_faculty,Law
Natasha Reyes,is_in_faculty,YST Conservatory of Music
Loretta Pacheco,is_in_faculty,YST Conservatory of Music
Debra Moore,is_in_faculty,College of Design and Engineering
Tiffany Gutierrez,is_in_faculty,Yong Loo Lin Sch of Medicine
Corey Atkinson,is_in_faculty,College of Design and Engineering
Alexander Bradley,is_in_faculty,YST Conservatory of Music
Kristin Bates,is_in_faculty,College of Design and Engineering
Lisa Beasley,is_in_faculty,Computing
Louis Patrick,is_in_faculty,Computing
Robert Guerra,is_in_faculty,Law
Samantha Graham,is_in_faculty,YST Conservatory of Music
Natalie Morse,is_in_faculty,NUS Business School
Melissa May,is_in_faculty,Science
Mikayla Lopez,is_in_faculty,Science
John Ball,is_in_faculty,Computing
Jeffrey Moses,is_in_faculty,Computing
Carlos Gordon,is_in_faculty,YST Conservatory of Music
Samuel Mckinney,is_in_faculty,NUS Business School
Theresa Matthews,is_in_faculty,Arts and Social Science
Jessica Hart,is_in_faculty,Computing
Joseph Barker,is_in_faculty,Computing
Roger James,is_in_faculty,Arts and Social Science
Alyssa Duncan,is_in_faculty,Yong Loo Lin Sch of Medicine
Justin Guerrero,is_in_faculty,College of Design and Engineering
Michael Lopez DDS,is_in_faculty,YST Conservatory of Music
Kyle Thomas,is_in_faculty,Computing
Kristina Serrano,is_in_faculty,Arts and Social Science
David Bush,is_in_faculty,YST Conservatory of Music
William Richmond,is_in_faculty,Yong Loo Lin Sch of Medicine
Kayla Santiago,is_in_faculty,Arts and Social Science
Maria Tran,is_in_faculty,YST Conservatory of Music
Logan Crawford,is_in_faculty,Science
John Griffin,is_in_faculty,College of Design and Engineering
Mark Davis,is_in_faculty,Computing
Joseph Jordan,is_in_faculty,Arts and Social Science
Jennifer Steele,is_in_faculty,College of Design and Engineering
Scott Petersen,is_in_faculty,Arts and Social Science
Robert Smith,is_in_faculty,College of Design and Engineering
Joseph Singh,is_in_faculty,Science
Michael Crawford,is_in_faculty,College of Design and Engineering
Bradley Roberts,is_in_faculty,Arts and Social Science
Carolyn Kirby,is_in_faculty,Science
Michael Reeves,is_in_faculty,Arts and Social Science
Nancy Mendez,is_in_faculty,Science
David Lee,is_in_faculty,Arts and Social Science
Patrick Davis,is_in_faculty,Arts and Social Science
Tracy Alvarez,is_in_faculty,YST Conservatory of Music
Christine Dunn,is_in_faculty,Computing
Brian Reilly,is_in_faculty,Arts and Social Science
Marcus Thomas,is_in_faculty,YST Conservatory of Music
Caleb Fox,is_in_faculty,Computing
Brenda York,is_in_faculty,Science
Samuel Baker,is_in_faculty,YST Conservatory of Music
Kelly Thomas,is_in_faculty,Law
Anthony Rodriguez,is_in_faculty,NUS Business School
Kevin Donovan,is_in_faculty,Yong Loo Lin Sch of Medicine
Mary Graham,is_in_faculty,College of Design and Engineering
Traci Brown,is_in_faculty,Computing
Jennifer Barnes,is_in_faculty,Arts and Social Science
Linda Wallace,is_in_faculty,College of Design and Engineering
Melissa Miller,is_in_faculty,College of Design and Engineering
Madison Baker,is_in_faculty,Science
Jane Lambert,is_in_faculty,Science
Nicholas Valdez,is_in_faculty,NUS Business School
Mary Jones,is_in_faculty,Science
Catherine Bernard,is_in_faculty,Computing
Kimberly Stevens,is_in_faculty,Science
Maria Campbell,is_in_faculty,Law
Joseph Rice,is_in_faculty,Arts and Social Science
Jerry Glenn,is_in_faculty,Arts and Social Science
Jordan Austin,is_in_faculty,NUS Business School
Frank Rivas,is_in_faculty,NUS Business School
Kimberly Owens,is_in_faculty,NUS Business School
Beth Smith,is_in_faculty,Yong Loo Lin Sch of Medicine
Tasha Maldonado,is_in_faculty,Arts and Social Science
Michael Murphy,is_in_faculty,College of Design and Engineering
Rhonda Beard,is_in_faculty,NUS Business School
Marcus Burton,is_in_faculty,Arts and Social Science
Gerald Sims,is_in_faculty,NUS Business School
Amy Rosario,is_in_faculty,Yong Loo Lin Sch of Medicine
Michael Mcneil,is_in_faculty,Science
Elizabeth Campbell,is_in_faculty,Science
Morgan Chandler,is_in_faculty,Arts and Social Science
Karen Jackson,is_in_faculty,Yong Loo Lin Sch of Medicine
Jodi Barrett,is_in_faculty,Science
Rebecca Lewis,is_in_faculty,Arts and Social Science
Nancy Osborne,is_in_faculty,Law
Matthew Wallace,is_in_faculty,Arts and Social Science
Michelle Villanueva,is_in_faculty,YST Conservatory of Music
Roberto Schneider,is_in_faculty,Law
Michelle Jones,is_in_faculty,Arts and Social Science
Pamela Green,is_in_faculty,Computing
Laura Johnson,is_in_faculty,College of Design and Engineering
Brian Sanders,is_in_faculty,YST Conservatory of Music
Luke Cain,is_in_faculty,Science
David Ramsey,is_in_faculty,YST Conservatory of Music
Kimberly Edwards,is_in_faculty,College of Design and Engineering
Gabriella Gamble,is_in_faculty,NUS Business School
Cassandra Williams,is_in_faculty,Law
Michael Vaughn,is_in_faculty,Law
Michelle Chan,is_in_faculty,Computing
Gary Mitchell,is_in_faculty,College of Design and Engineering
Daniel Howard,is_in_faculty,NUS Business School
Debbie Lee,is_in_faculty,Science
Jill Hurley,is_in_faculty,Yong Loo Lin Sch of Medicine
Stephanie Boone,is_in_faculty,YST Conservatory of Music
Faith Morgan,is_in_faculty,Computing
Jason Fitzgerald,is_in_faculty,NUS Business School
Kimberly Robles,is_in_faculty,Arts and Social Science
Shannon Collins,is_in_faculty,YST Conservatory of Music
Steven Ballard,is_in_faculty,Yong Loo Lin Sch of Medicine
Renee Decker,is_in_faculty,NUS Business School
Charles Thompson,is_in_faculty,Computing
Anthony Jones,is_in_faculty,Computing
Aaron Patel,is_in_faculty,YST Conservatory of Music
Bernard Morgan,is_in_faculty,YST Conservatory of Music
Ryan Rose,is_in_faculty,NUS Business School
Brian Cruz,is_in_faculty,College of Design and Engineering
Kimberly Wright,is_in_faculty,Science
Ryan Berry,is_in_faculty,Computing
Regina Taylor,is_in_faculty,Yong Loo Lin Sch of Medicine
David Allen,is_in_faculty,Yong Loo Lin Sch of Medicine
Deanna Daniels,is_in_faculty,Computing
Bryan Rose,is_in_faculty,Science
Derrick Weeks,is_in_faculty,Science
Marie Knight,is_in_faculty,Computing
Brian Mcdowell,is_in_faculty,Arts and Social Science
Kayla Leon,is_in_faculty,NUS Business School
Dr. Kristy Fox,is_in_faculty,College of Design and Engineering
Kelsey Solis,is_in_faculty,Yong Loo Lin Sch of Medicine
Margaret Miller,is_in_faculty,NUS Business School
Haley Smith,is_in_faculty,Law
Kelsey Webster,is_in_faculty,Law
Ashley Guerrero,is_in_faculty,YST Conservatory of Music
Brenda Taylor,is_in_faculty,Science
John Velasquez,is_in_faculty,NUS Business School
Garrett Hardin DVM,is_in_faculty,Law
Bradley Kirby,is_in_faculty,NUS Business School
Robert Martinez,is_in_faculty,Science
Maria Powell,is_in_faculty,College of Design and Engineering
Amanda Turner,is_in_faculty,Arts and Social Science
Brian Heath,is_in_faculty,NUS Business School
Jamie Brown MD,is_in_faculty,College of Design and Engineering
Briana Young,is_in_faculty,College of Design and Engineering
Kimberly Duncan,is_in_faculty,Computing
John Escobar,is_in_faculty,Arts and Social Science
Lacey Rogers,is_in_faculty,College of Design and Engineering
Cathy Hood,is_in_faculty,College of Design and Engineering
Laura Hernandez,is_in_faculty,Yong Loo Lin Sch of Medicine
Daniel Ortega,is_in_faculty,Computing
Penny Sanchez,is_in_faculty,College of Design and Engineering
Judith Kirk,is_in_faculty,Computing
Bryan Sanchez,is_in_faculty,Arts and Social Science
David Carrillo,is_in_faculty,Arts and Social Science
Lauren Lee,is_in_faculty,Computing
Lisa Smith,is_in_faculty,College of Design and Engineering
Pamela Reed,is_in_faculty,YST Conservatory of Music
Dawn Sellers,is_in_faculty,Yong Loo Lin Sch of Medicine
Kimberly Howard,is_in_faculty,Law
Lisa Hart,is_in_faculty,Computing
Laurie Stone,is_in_faculty,Computing
Peter Price,is_in_faculty,NUS Business School
Pamela Thompson,is_in_faculty,Law
John Holt,is_in_faculty,Law
Gina Cole,is_in_faculty,Science
Paul Boyle,is_in_faculty,YST Conservatory of Music
Michael Keith,is_in_faculty,YST Conservatory of Music
Morgan Johnson,is_in_faculty,Yong Loo Lin Sch of Medicine
David Sharp,is_in_faculty,Yong Loo Lin Sch of Medicine
Dr. Robert Hicks,is_in_faculty,Science
Ronald Young,is_in_faculty,NUS Business School
Amy Webb,is_in_faculty,YST Conservatory of Music
Todd Goodwin,is_in_faculty,Arts and Social Science
Jeremy Herring,is_in_faculty,Law
Scott Archer,is_in_faculty,Arts and Social Science
Michael Scott,is_in_faculty,NUS Business School
Mary Jimenez,is_in_faculty,Science
Melissa Mccarthy,is_in_faculty,Law
Brent Smith,is_in_faculty,YST Conservatory of Music
Marc Shields,is_in_faculty,YST Conservatory of Music
Chelsea Estrada,is_in_faculty,NUS Business School
Autumn Mccann,is_in_faculty,Yong Loo Lin Sch of Medicine
Kelly Garrison,is_in_faculty,Yong Loo Lin Sch of Medicine
Melissa Owen,is_in_faculty,YST Conservatory of Music
Connor Riley,is_in_faculty,Law
Emma Lawson,is_in_faculty,Computing
Charles Kim,is_in_faculty,YST Conservatory of Music
Jessica Camacho,is_in_faculty,Science
Tasha Hernandez,is_in_faculty,NUS Business School
Elizabeth Jones,is_in_faculty,Arts and Social Science
Garrett Golden,is_in_faculty,Yong Loo Lin Sch of Medicine
Jasmine Robinson,is_in_faculty,Computing
Allison Bailey,is_in_faculty,Law
Jordan Hammond,is_in_faculty,Law
Samantha Hernandez,is_in_faculty,Arts and Social Science
Clifford Clark,is_in_faculty,YST Conservatory of Music
Amanda Nelson,is_in_faculty,Computing
Shannon Bridges,is_in_faculty,Computing
Amanda Ruiz,is_in_faculty,Computing
Donald Mccoy,is_in_faculty,Arts and Social Science
David Lopez,is_in_faculty,Law
Anthony Martinez,is_in_faculty,Yong Loo Lin Sch of Medicine
Danielle Moran,is_in_faculty,Law
Joshua Becker,is_in_faculty,College of Design and Engineering
Robert Johnson,is_in_faculty,Law
Terry Reyes,is_in_faculty,Computing
Patrick Vargas,is_in_faculty,Law
Alexandra Walker,is_in_faculty,NUS Business School
Danielle Martinez,is_in_faculty,Computing
Andrea Wiley,is_in_faculty,College of Design and Engineering
Brandon Nelson,is_in_faculty,Law
Daniel Chapman,is_in_faculty,Arts and Social Science
David Leach,is_in_faculty,Arts and Social Science
Diane Perez,is_in_faculty,Yong Loo Lin Sch of Medicine
Tyler Johnson,is_in_faculty,Law
