Subject,Predicate,Object
Tracy Lewis,majors_in,Business Administration
Andrew Holden,majors_in,Music
Phillip Bullock,majors_in,Electrical Engineering
Valerie Rivera,majors_in,Business Analytics
Robert Hall,majors_in,Music
Kimberly Figueroa,majors_in,Architecture
Brian Walsh,majors_in,Computer Science
Jimmy Rodriguez,majors_in,History
Angela Solis,majors_in,Nursing
Leah Hays,majors_in,History
Stephanie Brown,majors_in,Music
Mackenzie Myers,majors_in,Music
Troy Mcfarland,majors_in,Information Systems
Scott Pollard,majors_in,Sociology
Jennifer Padilla,majors_in,Medicine
Teresa Gomez,majors_in,Business Administration
Tracy Scott,majors_in,Nursing
Albert Miller,majors_in,Medicine
Robert Sutton,majors_in,Physics
Brittney Parker,majors_in,Nursing
Meghan Mason,majors_in,Data Science and Economics
Nicholas Anderson,majors_in,Psychology
Nancy Smith,majors_in,Sociology
Terri Hall,majors_in,Industrial Design
Julie Adams,majors_in,Nursing
Jenny Richardson,majors_in,Medicine
Paula West,majors_in,Medicine
Bonnie Higgins,majors_in,"Philosophy, Politics &Economics"
James Berg,majors_in,Mechanical Engineering
Savannah Alexander,majors_in,Nursing
Nicole Griffin,majors_in,Life Science
Jennifer Sanchez,majors_in,Psychology
Jacob Ferguson,majors_in,Computer Science
John Olsen,majors_in,Business Administration
John Guerra,majors_in,Geography
Rebecca Robertson,majors_in,Medicine
Candice Rios,majors_in,Data Science and Analytics
Jonathan Hopkins,majors_in,Nursing
Jeffrey Daniels,majors_in,Pharmacy
Colleen Gilbert,majors_in,Business Administration
James Bell,majors_in,Economics
Tami Clarke,majors_in,Business Administration
John Garcia,majors_in,Sociology
Nicole Gonzalez,majors_in,Computer Science
Andrew Newman,majors_in,Medicine
Randy Moore,majors_in,Economics
Kelly Norris,majors_in,Medicine
Larry Mccarthy,majors_in,Economics
April Mendez,majors_in,Pharmacy
Shawn Townsend,majors_in,Law
Christine Clark,majors_in,Law
Kevin Hall,majors_in,Medicine
George King,majors_in,Geography
Timothy Ryan,majors_in,Geography
Dr. Stephanie Williams MD,majors_in,Nursing
Paul Obrien,majors_in,Nursing
Eduardo James,majors_in,Music
Amanda Perez,majors_in,Computer Science
Stacy Ortiz,majors_in,Law
Lynn Jennings,majors_in,Pharmaceutical Science
Sherri Estes,majors_in,Physics
Karen Adams,majors_in,Sociology
Terry Ross,majors_in,Music
Jerry Alexander,majors_in,Food Science and Technology
Keith Middleton,majors_in,Music
Brenda Irwin,majors_in,Physics
Judith Fox,majors_in,Computer Science
Grant Chavez,majors_in,Medicine
Adam Torres,majors_in,Music
Sydney Green,majors_in,Business Administration
Karla Compton,majors_in,Business Administration
Harry Caldwell,majors_in,Nursing
George Johnson,majors_in,Law
Joseph Perkins,majors_in,Business Administration
Alexis Garcia,majors_in,Nursing
Rodney Williams,majors_in,Law
Christine Pace,majors_in,Information Systems
Nicole Barton,majors_in,Information Systems
Jennifer Hart,majors_in,Civil Engineering
Thomas Hanson,majors_in,Environmental Studies
Eric Anderson,majors_in,Business Administration
Kayla Peterson,majors_in,Business Administration
Paul Barton,majors_in,Sociology
Brian Michael,majors_in,Geography
Deanna Villarreal,majors_in,Nursing
Todd Martin,majors_in,Law
Alejandro Preston,majors_in,Law
Lisa Baird,majors_in,Music
Timothy Hahn,majors_in,Chemistry
John Bell,majors_in,Music
Dr. Casey Taylor,majors_in,Law
Amanda Johnson,majors_in,Architecture
Richard Cox,majors_in,Law
Natasha Reyes,majors_in,Music
Loretta Pacheco,majors_in,Music
Debra Moore,majors_in,Electrical Engineering
Tiffany Gutierrez,majors_in,Medicine
Corey Atkinson,majors_in,Industrial Design
Alexander Bradley,majors_in,Music
Kristin Bates,majors_in,Architecture
Lisa Beasley,majors_in,Computer Science
Louis Patrick,majors_in,Information Systems
Robert Guerra,majors_in,Law
Samantha Graham,majors_in,Music
Natalie Morse,majors_in,Business Administration
Melissa May,majors_in,Data Science and Analytics
Mikayla Lopez,majors_in,Food Science and Technology
John Ball,majors_in,Business Analytics
Jeffrey Moses,majors_in,Business Analytics
Carlos Gordon,majors_in,Music
Samuel Mckinney,majors_in,Business Administration
Theresa Matthews,majors_in,Psychology
Jessica Hart,majors_in,Business Analytics
