Subject,Predicate,Object,Predicate2,Object2
Tracy Lewis,takes_module,ACC1701B,and_scored,B
Tracy Lewis,takes_module,DMB1202ACC,and_scored,A
Tracy Lewis,takes_module,DMB1201MKT,and_scored,C+
Tracy Lewis,takes_module,MNO1706B,and_scored,C
Tracy Lewis,takes_module,RE1702,and_scored,C+
Tracy Lewis,takes_module,MNO1706C,and_scored,B+
Tracy Lewis,takes_module,MKT1705A,and_scored,F
Tracy Lewis,takes_module,DMB1204BSP,and_scored,B+
Andrew Holden,takes_module,CFA1111A,and_scored,F
Andrew Holden,takes_module,MUA1190,and_scored,A
Andrew Holden,takes_module,MUA2109,and_scored,F
Andrew Holden,takes_module,MUA1172,and_scored,A
Andrew Holden,takes_module,CFA1101B,and_scored,C+
Andrew Holden,takes_module,MUA3219,and_scored,C+
Andrew Holden,takes_module,MUA3109,and_scored,C+
Andrew Holden,takes_module,MUH2201,and_scored,B+
Andrew Holden,takes_module,MUA3196,and_scored,D
Andrew Holden,takes_module,MUA1161,and_scored,C
Andrew Holden,takes_module,MUA3188,and_scored,B
Andrew Holden,takes_module,GEH1060,and_scored,B-
Andrew Holden,takes_module,MUA2255,and_scored,C
Andrew Holden,takes_module,MUA3113,and_scored,C+
Andrew Holden,takes_module,MUL2107,and_scored,A
Andrew Holden,takes_module,GEC1014,and_scored,C
Andrew Holden,takes_module,MUA1111,and_scored,A
Andrew Holden,takes_module,MUA3154,and_scored,B+
Andrew Holden,takes_module,CFA1101A,and_scored,B+
Andrew Holden,takes_module,MUH2204,and_scored,C+
Andrew Holden,takes_module,MUA3133,and_scored,B+
Andrew Holden,takes_module,GES1020,and_scored,A-
Andrew Holden,takes_module,MUA1101,and_scored,D
Andrew Holden,takes_module,MUA3213,and_scored,C+
Phillip Bullock,takes_module,ME1102,and_scored,F
Phillip Bullock,takes_module,BN1111,and_scored,B-
Phillip Bullock,takes_module,PF1103,and_scored,C+
Phillip Bullock,takes_module,CN1101A,and_scored,A-
Phillip Bullock,takes_module,ID1223,and_scored,A+
Phillip Bullock,takes_module,GESS1014,and_scored,C
Phillip Bullock,takes_module,AR1102,and_scored,B
Phillip Bullock,takes_module,LAD1004,and_scored,A-
Valerie Rivera,takes_module,CS3236R,and_scored,A+
Valerie Rivera,takes_module,CS1010,and_scored,A+
Valerie Rivera,takes_module,CP3209,and_scored,A+
Valerie Rivera,takes_module,CS1010R,and_scored,A+
Valerie Rivera,takes_module,IS1128,and_scored,B+
Valerie Rivera,takes_module,CS2103R,and_scored,F
Valerie Rivera,takes_module,CS1231R,and_scored,D
Valerie Rivera,takes_module,DMC1401IS,and_scored,C
Valerie Rivera,takes_module,IS1108,and_scored,A
Valerie Rivera,takes_module,CP1008,and_scored,A
Valerie Rivera,takes_module,GEI1000,and_scored,D
